episode,score
1,11
2,19
3,10
4,11
5,10
6,13
7,13
8,14
9,13
10,14
11,10
12,14
13,19
14,12
15,21
16,11
17,11
18,29
19,18
20,27
21,11
22,12
23,12
24,9
25,11
26,10
27,13
28,10
29,24
30,16
31,11
32,14
33,25
34,39
35,20
36,26
37,19
38,27
39,138
40,37
41,53
42,30
43,95
44,52
45,62
46,63
47,86
48,181
49,229
50,250
51,301
52,153
53,235
54,246
55,173
56,174
57,284
58,173
59,180
60,206
61,198
62,215
63,231
64,168
65,239
66,184
67,144
68,248
69,207
70,221
71,150
72,218
73,242
74,181
75,157
76,300
77,166
78,197
79,192
80,259
81,137
82,108
83,214
84,185
85,101
86,136
87,181
88,178
89,138
90,141
91,246
92,208
93,380
94,284
95,162
96,123
97,127
98,132
99,132
100,207
