episode,score
1,-447.04671776722864
2,-366.82584045588817
3,-328.785175737251
4,-294.16002152208006
5,-260.8716460585345
6,-268.66507071754563
7,-228.5613762066239
8,-204.45670612546994
9,-162.07335194370316
10,-145.67164842481145
11,-134.63695164501718
12,-128.1083774964582
13,-129.78228908231557
14,-137.5687255098861
15,-129.43679851439956
16,-136.5830916705685
17,-151.50918267610922
18,-150.63966282516242
19,-141.43800182378854
20,-145.94201258505615
21,-144.21546961455658
22,-142.1809649018788
23,-132.18070008640342
24,-138.01984145194265
25,-136.57084401562463
26,-135.1907881535834
27,-152.39765633130614
28,-129.2062360435505
29,-148.89926143056354
30,-167.57562730084067
31,-136.48218693953632
32,-143.43956659378972
33,-153.61067877473934
34,-138.56931989917877
35,-142.83836932193967
36,-145.96328223778602
37,-145.86490037323335
38,-139.5009808588776
39,-128.86390030401537
40,-157.94283526206894
41,-131.7041172689008
42,-150.784761739047
43,-164.77649765756047
44,-167.6575165643918
45,-154.46337259039552
46,-138.28535801769934
47,-175.80334937763277
48,-148.31886247923276
49,-134.41409419016856
50,-151.81431136001999
51,-143.87469723832004
52,-139.75097513332798
53,-141.41343290627364
54,-160.46538480012748
55,-171.9451764634921
56,-151.33111419282696
57,-139.02582171909165
58,-143.3737406945723
59,-140.65784989643277
60,-140.04055431182516
61,-130.89766877557364
62,-150.69201317054288
63,-148.36159825460845
64,-144.8910821362976
65,-150.74437337151184
66,-134.08083161414115
67,-136.57766714423659
68,-148.20576894381063
69,-144.3004638381879
70,-161.74308106055108
71,-152.3867086060688
72,-153.30826274503013
73,-156.00028743823296
74,-145.9667525051462
75,-146.27692107661684
76,-138.0045951531244
77,-133.49950736493236
78,-141.6396165382227
79,-144.09623216995368
80,-135.79650250369113
81,-143.3689513908124
82,-157.50049791764778
83,-142.2201982961741
84,-139.74947593360116
85,-147.46196048986747
86,-153.83055682493747
87,-153.11522262330152
88,-156.79751531831184
89,-137.7461587816983
90,-142.64586616087567
91,-161.84360236192865
92,-150.57143719194428
93,-148.15105692976428
94,-148.25024412727294
95,-147.7031094456044
96,-150.0098193343991
97,-151.09126388046218
98,-147.21921132338656
99,-162.63524771084536
100,-127.90642672359925
101,-143.91022617012516
102,-143.80812356310472
103,-170.09488015930964
104,-163.77861539353583
105,-157.23097760580836
106,-145.9062205833538
107,-134.6475084708039
108,-142.89876038735304
109,-132.7584913450342
110,-168.97247537808008
111,-141.68600908150734
112,-146.6710213808437
113,-162.32470769999819
114,-158.91885500007504
115,-147.99800417905098
116,-139.71608307136876
117,-151.53313434256398
118,-120.5837232713144
119,-138.86219965595552
120,-141.32381146644892
121,-135.17980145998408
122,-144.83091674284657
123,-124.94537194918905
124,-129.23952909861933
125,-164.26419704922577
126,-152.75090060170768
127,-114.05148932981814
128,-156.20619462643012
129,-170.8679089376493
130,-156.19073577578544
131,-170.19738092539038
132,-169.37304602109657
133,-147.32012048139433
134,-143.44430651991289
135,-137.63783055839278
136,-155.74871687808144
137,-185.43344716644424
138,-155.71976412604982
139,-140.2675862482783
140,-125.48681100052335
141,-141.72663101824222
142,-153.25224373462396
143,-154.41610909263554
144,-145.95427186304372
145,-151.22992596981578
146,-167.15534684067265
147,-140.6740491151882
148,-145.82619979198572
149,-156.93415292609586
150,-151.2394601621774
151,-125.70448330393084
152,-140.36449121795198
153,-149.78954507680402
154,-116.16972046640505
155,-150.7754768548396
156,-161.06476189836013
157,-169.47780738048135
158,-138.44650639758288
159,-174.42063579684614
160,-145.9919915598664
161,-136.11768651804772
162,-165.3835416381324
163,-170.9884524023645
164,-112.4143224392301
165,-145.59719806088347
166,-151.04983149486256
167,-127.7579418909641
168,-168.1541386461692
169,-172.16408194915303
170,-173.94230229074336
171,-131.35179680997214
172,-170.89786172352925
173,-159.87469142351335
174,-145.4497991265897
175,-151.31061941220838
176,-117.43907149975492
177,-139.8835218930141
178,-137.93040257348085
179,-128.898473319777
180,-134.46342761588951
181,-149.96451516914647
182,-154.7248893783912
183,-143.71200285102833
184,-140.71211269505875
185,-129.93874022228582
186,-151.83721303685937
187,-148.0889805634185
188,-105.25740777396675
189,-157.5584914185042
190,-128.6142887428319
191,-138.55041035452135
192,-130.37810954092066
193,-128.44428452561482
194,-118.37967985547151
195,-150.12863375015553
196,-143.75082400799752
197,-138.6513212510814
198,-136.0600926871768
199,-165.25949811353883
200,-115.08843014357079
201,-127.54784778695318
202,-137.00931460329454
203,-115.80994057469817
204,-137.81282067535446
205,-137.4693845476222
206,-134.96871825626124
