episode,score
1,154
2,135
3,153
4,193
5,145
6,191
7,207
8,153
9,133
10,253
11,200
12,278
13,193
14,197
15,216
16,188
17,174
18,142
19,191
20,143
21,207
22,309
23,214
24,117
25,157
26,126
27,155
28,192
29,233
30,204
31,147
32,183
33,162
34,153
35,160
36,208
37,164
38,230
39,155
40,186
41,144
42,27
43,240
44,160
45,163
46,187
47,160
48,155
49,195
50,237
51,15
52,193
53,128
54,127
55,210
56,242
57,295
58,199
59,232
60,9
61,9
62,11
63,19
64,70
65,257
66,274
67,250
68,306
69,210
70,151
71,123
72,171
73,259
74,45
75,13
76,305
77,281
78,72
79,18
80,187
81,258
82,229
83,365
84,190
85,276
86,178
87,221
88,111
89,52
90,135
91,422
92,239
93,211
94,216
95,152
96,192
97,218
98,133
99,164
100,199
