episode,epsilon,score
1,1.0,9
2,1.0,9
3,0.9655206468094844,9
4,0.918316468354365,11
5,0.8778091417340573,10
6,0.8433051360508336,9
7,0.810157377815473,9
8,0.7744209942832988,10
9,0.7439808620067382,9
10,0.7076077347272662,11
11,0.6763948591909945,10
12,0.5997278763867329,25
13,0.5732736268885887,10
14,0.547986285490042,10
15,0.5238143793828016,10
16,0.500708706245853,10
17,0.47862223409330756,10
18,0.4598090507939749,9
19,0.43952667968844233,10
20,0.4222502236424958,9
21,0.4036245882390106,10
22,0.38389143477919885,11
23,0.3706551064126331,8
24,0.3543053533848483,10
25,0.3403786882983606,9
26,0.3125753549412418,18
27,0.30028896908517405,9
28,0.28993519966087045,8
29,0.27714603575484437,10
30,0.26759021970270175,8
31,0.2532352299289372,12
32,0.24328132378095624,9
33,0.23371867538818816,9
34,0.22340924607110255,10
35,0.21248679717794605,11
36,0.2041345879004775,9
37,0.19611067854912728,9
38,0.18840216465300522,9
39,0.18099664897669618,9
40,0.17388222158237718,9
41,0.16704744067563246,9
42,0.15888051309497406,11
43,0.1518722266715875,10
44,0.14590259167570602,9
45,0.14016760486247823,9
46,0.1255322834371622,23
47,0.11999500148501063,10
48,0.1135578192100607,12
49,0.10376060541355137,19
50,0.09918368135888474,10
51,0.08750185146499175,26
52,0.08364210790237678,10
53,0.08035439121179945,9
54,0.0716045256805401,24
55,0.061607401965086545,31
56,0.05918580250061433,9
57,0.056575091797066025,10
58,0.052741004581916356,15
59,0.05092252885731386,8
60,0.04867631463831842,10
61,0.04652918187562211,10
62,0.04447676004441063,10
63,0.04294323012606958,8
64,0.04104898613852031,10
65,0.03923829805195549,10
66,0.03549537564593805,21
67,0.03392965965983891,10
68,0.03275978694079333,8
69,0.03147209942303359,9
70,0.021075222784267326,81
71,0.020348562734319765,8
72,0.01964695745288379,8
73,0.018780321875645996,10
74,0.012895378303744804,76
75,0.012326557729527843,10
76,0.01184203826198843,9
77,0.01137656378004644,9
78,0.01,73
79,0.01,53
80,0.01,54
81,0.01,65
82,0.01,107
83,0.01,9
84,0.01,9
85,0.01,11
86,0.01,111
87,0.01,67
88,0.01,11
89,0.01,10
90,0.01,11
91,0.01,43
92,0.01,9
93,0.01,10
94,0.01,9
95,0.01,115
96,0.01,101
97,0.01,10
98,0.01,41
99,0.01,9
100,0.01,10
