attempt,score
1,499.0
2,459.0
3,500.0
4,412.0
5,342.0
6,299.0
7,500.0
8,366.0
9,464.0
10,442.0
11,365.0
12,500.0
13,419.0
14,500.0
15,469.0
16,500.0
17,442.0
18,360.0
19,446.0
20,451.0
21,500.0
22,350.0
23,500.0
24,484.0
25,410.0
26,462.0
27,460.0
28,419.0
29,425.0
30,225.0
31,313.0
32,449.0
33,500.0
34,488.0
35,339.0
36,451.0
37,472.0
38,475.0
39,498.0
40,500.0
41,440.0
42,500.0
43,436.0
44,418.0
45,441.0
46,461.0
47,476.0
48,301.0
49,500.0
50,374.0
51,219.0
52,500.0
53,500.0
54,448.0
55,500.0
56,435.0
57,437.0
58,500.0
59,453.0
60,500.0
61,470.0
62,452.0
63,439.0
64,500.0
65,454.0
66,413.0
67,478.0
68,480.0
69,500.0
70,435.0
71,500.0
72,224.0
73,332.0
74,417.0
75,428.0
76,435.0
77,500.0
78,464.0
79,426.0
80,412.0
81,227.0
82,372.0
83,227.0
84,481.0
85,434.0
86,455.0
87,500.0
88,385.0
89,455.0
90,441.0
91,354.0
92,437.0
93,452.0
94,487.0
95,428.0
96,500.0
97,500.0
98,354.0
99,437.0
100,324.0
