episode,score
1,-262.346575543475
2,-106.16524193177487
3,-315.37958720213055
4,-150.40474902081118
5,-160.0861610607475
6,-265.1002674407416
7,-295.6666568503647
8,-206.31345651560386
9,-153.5223466854681
10,-234.73449418126572
11,-209.24323083362918
12,-196.52394056518324
13,-344.94994739519973
14,-265.7043659931262
15,-181.32805591343646
16,-307.0384517795135
17,-207.48151426875626
18,-239.13943244656988
19,-297.78846474312945
20,-191.14265160871668
21,-199.4203966643439
22,-101.58048054952957
23,-190.65198898988774
24,-124.31418920630762
25,-192.29827028759797
26,-173.42528156330917
27,-256.20877162898694
28,-167.3675556988477
29,-232.78215164070713
30,-185.74225158923625
31,-246.2484138288435
32,-160.33054049023417
33,-234.2166899313029
34,-315.37263572952406
35,-273.9011212915228
36,-219.90002376058527
37,-169.34463859415945
38,-204.6067157764831
39,-194.03855936232836
40,-188.81607839530955
41,-207.9695700590033
42,-348.4608732932951
43,-132.811484728712
44,-217.7082665692006
45,-148.74352972502953
46,-164.06101317389272
47,-196.4120630524477
48,-153.357424969982
49,-138.82351854637756
50,-187.95336913468546
51,-188.2150225734503
52,-175.18276019340226
53,-144.64660543590637
54,-205.15961507916367
55,-187.5196393260375
56,-159.09240067242072
57,-178.46303644279365
58,-245.03795044230554
59,-211.63995765700162
60,-257.9708179431108
61,-349.6383257245719
62,-217.24038414597374
63,-232.49013822354405
64,-174.65801041797425
65,-177.24057687845914
66,-261.2622184266853
67,-171.37534754931386
68,-195.39138120726514
69,-267.0466506196258
70,-272.98015415962914
71,-159.292960932482
72,-168.741458255132
73,-154.23303512342187
74,-204.98750211624917
75,-191.19537981557323
76,-301.6482922600509
77,-206.0445153662106
78,-215.49857710520098
79,-162.97348105115086
80,-222.34612199094872
81,-197.83040762286268
82,-162.5661718041065
83,-166.72229363616646
84,-206.27675357275115
85,-341.6935783573968
86,-293.924190865643
87,-217.94726104659208
88,-218.9035872914388
89,-296.3227493029062
90,-218.50469994456324
91,-166.68710234789626
92,-120.0335108391971
93,-227.14854877936673
94,-227.29084264714308
95,-167.2418265977637
96,-236.95327206771867
97,-233.03399695197916
98,-208.02391494954955
99,-203.96152266488087
100,-183.83570154792318
