episode,score
1,184.36891839628458
2,169.28059364346615
3,205.52353394283767
4,234.42761087785414
5,209.30847634586917
6,245.2700116232604
7,227.46227552352192
8,225.59746144764165
9,279.85964917189784
10,219.72552700366145
11,127.38294191013414
12,220.7079120671285
13,232.70829358560215
14,236.9184543585013
15,222.56545773238366
16,276.5787728553126
17,225.070891730803
18,247.5584372510799
19,-13.804567038462949
20,216.45283686055677
21,229.59128119099992
22,193.26729071169862
23,276.758205121536
24,208.71790931843393
25,240.4618480177232
26,17.075812167424857
27,102.93262407282566
28,110.87320587855102
29,199.27569782049378
30,151.8281786331827
31,213.7027082464612
32,210.04034524472553
33,198.3892878907601
34,229.47781203522538
35,223.06157237149523
36,236.95460406935544
37,62.99388616156692
38,215.4022236061093
39,201.23819914378552
40,228.48244717489155
41,210.13112703989293
42,127.23468637970107
43,135.3244141509057
44,263.15959772130486
45,145.68258865067415
46,201.53533214435157
47,210.7059938240349
48,226.57262284782766
49,234.67312633868005
50,202.4371758013133
51,178.3582815704315
52,208.60588152555533
53,244.9105014562519
54,223.99479609400066
55,250.3806578436931
56,231.3623037173482
57,272.27243058305476
58,258.9603900148228
59,228.21264627485567
60,252.71847912041483
61,150.34614230609284
62,168.606727368414
63,151.99892258505537
64,174.31824114242573
65,248.6399881360538
66,233.40322211750953
67,187.42294469005913
68,34.16920362327315
69,227.41211682849905
70,195.84273858033504
71,229.10445419050563
72,262.95389054685086
73,206.24677125331453
74,239.36323755053866
75,166.6181730144147
76,267.85433701742807
77,238.3284152166325
78,228.09464621607913
79,179.7748062898817
80,215.25280943029065
81,235.31200139918317
82,105.12472555929163
83,225.11844226136134
84,261.7717124009075
85,96.07388339641503
86,262.95990639650506
87,212.86778725365176
88,230.00154151366462
89,212.76612404304262
90,200.75046669074473
91,248.37011132237538
92,213.40218250360368
93,86.60484059241932
94,200.01259053914328
95,212.1590864809586
96,244.75980402370695
97,270.6640950886208
98,112.38459502756143
99,239.32663010447104
100,181.90416705673812
