generation,average fitness,maximum fitness
1,-530.8656972542992,31.536176297732027
2,-448.73218477569117,-184.18512246682963
3,-486.2115773690327,-248.6650909609665
4,-658.0647796763559,-215.7047929320237
5,-535.6391073168589,-94.17546722663667
6,-651.4475122893118,-407.80869506646115
7,-596.7339129093218,-253.85449577145926
8,-876.4974802866673,-402.1748860479614
9,-796.6609648510587,-365.09200140242007
10,-743.4367938814488,-534.6663288044101
11,-735.6465289209679,-195.3132119217072
12,-548.856853321645,-64.71328537648414
13,-725.9562950687746,-143.11948297878928
14,-627.1680781264168,-328.75539092030704
15,-706.7973877270324,-242.24528606264238
16,-760.9446583010471,-380.0409865810701
17,-952.3611185574088,-412.0409515605527
18,-846.9921715847826,-486.0089060878349
19,-781.0068479993021,-252.26195748199137
20,-993.406959441831,-424.6191449804901
21,-918.8508019561863,-420.123048513107
22,-768.6247407418666,-306.7533699963237
23,-767.2111146739426,-474.25634865009135
24,-724.790629864432,-417.78926703615326
25,-783.4656872950063,-327.56181619765607
26,-861.4663887719528,-297.72460780677716
27,-901.6279377961612,-399.53326982823694
28,-615.819525135224,-235.03041345802836
29,-909.3994962281329,-395.1287612005365
30,-777.6517101152837,-430.9861668526545
31,-639.4540311226465,-115.8944182340837
32,-1044.234945039073,-230.01693524971137
33,-969.8543818162025,-249.3200339441018
34,-829.3284953244631,-435.5772266382179
35,-633.9242347595551,-364.67938767957
36,-1475.3359027560325,-410.8649024421419
37,-940.446797254139,-301.86022935354254
38,-885.0437151618801,-247.52037211253585
39,-1075.514868291967,-458.51584904976255
40,-974.1901151147091,-390.73892246165036
41,-1161.1021048329594,-414.7692631136458
42,-1417.6168557887313,-392.6886694236875
43,-986.2368812800162,-426.90815867125883
44,-1036.6207650881518,-288.7365776081086
45,-844.1927519186377,-103.68854471402378
46,-873.690520005619,-147.57297600561492
47,-978.0396609078743,-151.56534199722714
48,-827.7582125424417,-146.12936542047214
49,-953.2424272599125,-233.17157340597078
50,-696.8264039674265,-123.62450089517667
51,-927.4405110607482,-77.03725615598309
52,-829.9753326725407,-93.4331791967763
53,-558.6839853588643,-12.939795607023527
54,-1181.9238418108987,-324.82104186029915
55,-917.3782434181443,-398.6572012496591
56,-910.483514354806,-357.85777298972715
57,-976.6277462551064,-215.3677762119171
58,-1062.3583554368483,-93.31357334711365
59,-766.640641240024,-155.25388461781353
60,-874.9816103888018,-136.34907195302543
61,-658.2715611102632,-130.6396126859151
62,-638.1016489630141,10.219719414124299
63,-720.7699112661841,-124.57978001542989
64,-684.721029009752,-32.333337554746095
65,-1046.129681187448,-157.30710665601413
66,-719.195465955798,-97.93611464565703
67,-736.0932127394675,-123.94021233513227
68,-793.4648371048901,-89.45199420059858
69,-555.6130283285759,-114.2681393757255
70,-1048.2458570459855,-356.89807277019355
71,-1117.3812330936985,-405.217396591047
72,-833.5686070938139,-356.5058319525281
73,-878.7842098653939,-424.0644059057095
74,-1225.3329604969388,-356.3600123264118
75,-899.5765464966074,-143.0958989728013
76,-1094.8482218003528,-280.26449893016945
77,-899.1578617292432,-351.3936689491089
78,-677.4934870073796,-99.8852452876226
79,-854.5677277143034,-359.81115091445434
80,-702.7982661073404,-377.495720788646
81,-1229.7232045813514,-305.225801383849
82,-766.1737092296293,-403.8033585586556
83,-833.3711459277065,-439.0680056500789
84,-993.2277316802923,-424.95087177349643
85,-781.2233609010889,-93.02360579073009
86,-873.619167964201,-104.15652365406235
87,-970.8912832135244,-351.2790852718492
88,-1377.6229250570404,-348.3511476173576
89,-685.1651024953451,-445.5491232135717
90,-712.6913561070232,-378.0354987965554
91,-1034.4861054853586,-359.6062655194565
92,-857.939004120352,-412.11736661778093
93,-915.563732200684,-376.2729805557902
94,-1197.1452338056658,-433.71530270061305
95,-880.9888421335869,-176.9036615652971
96,-859.6732939542442,-5.116789002960502
97,-958.7851014743522,-141.53450315680402
98,-630.789602854278,-95.85660899362348
99,-564.5467547114579,-348.4465555573917
100,-771.622454886906,-344.3780172814843
